Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.040069148,0.01829262,-0.028365074,-0.019322868,-0.027711645,0.03367959,0.056429453,-0.013778542,0.04927683,0.01872378,-0.0055690636,-0.07926243,-0.01849217
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,0.002192779,-0.05232804,-0.012092691,-0.02064052,0.0013672683,-0.0014696041,-0.007625454,0.033168048,-0.02673292,0.025235577,0.009369059,0.026590714,0.014940384
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,-0.018286882,-0.06161436,0.028775949,0.034693383,0.062399734,-0.014022786,-0.036441054,0.0321224,-0.040407583,-0.009513408,0.01702417,0.03847897,-0.031555403
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,0.039327256,0.03813012,-0.027366541,-0.04411087,-0.005123669,0.03733475,-0.01377668,-0.032236356,0.061430305,0.046937775,-0.055431202,-0.017682645,-0.072275154
5BR%GENOME006024_4796,-0.07174857,-0.07313781,0.062038813,0.055699967,0.036193162,-0.050496686,-0.093738586,-0.0074097123,0.014473744,0.057348657,-0.04172623,-0.017771155,0.08652851
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,-0.0237171,-0.06730801,0.033579066,0.038140092,0.04966925,-0.027367532,-0.04732699,0.0052550975,-0.046408664,0.051197138,0.018687062,0.04804852,-0.023852516
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.08537903,0.07969036,-0.037683833,-0.07356538,-0.047066964,0.09153567,0.023641212,0.014501066,0.10060425,-0.03771966,-0.0067308736,-0.10948643,-0.03363958
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.038503975,-0.023811052,0.035392,0.025720684,0.008298562,-0.022313995,-0.008439114,0.015701652,-0.020164011,0.04245657,-0.013474137,-0.003708101,-0.019708954
5BR%MBO8446450_1_NADH_flavin_oxidoreductase__Candidatus_Enterocola_intestinipullorum_,-0.04730227,-0.05000416,0.044209734,0.031404417,0.01393262,-0.018501753,-0.002409206,-0.06564275,-0.002468406,0.053766325,-0.028867789,0.038719174,0.013496703
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,0.023579573,0.014600197,-0.022654286,-0.042559553,-0.0298254,0.025355754,0.011130806,-0.033293933,0.017111922,-0.01745985,0.04471664,0.02559147,-0.006628392
5BR%MCA9548846_1_NADH_flavin_oxidoreductase__Myxococcales_bacterium_,-0.0056988983,-0.023302123,-0.00044049093,0.0060197012,0.021229904,-0.011855501,0.044998698,0.0026840419,-0.0041402546,0.015621401,-0.016738089,-0.0025633904,0.045519948
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,-0.05198481,-0.03408656,0.09202991,0.07620251,0.038877547,-0.055844873,-0.031554822,0.04500573,-0.10794193,0.009695831,-0.0041824146,-0.03738262,0.050322376
5BR%MCQ2271787_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.018433593,-0.021629477,0.0045794733,-0.012892369,0.0029674354,0.012942549,0.008365971,0.04725167,0.020070963,0.0031556406,-0.044764124,-0.0029855128,-0.037703704
5BR%MCR4591939_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,-0.028408373,0.003102307,-0.00971043,0.01165944,0.015832627,-0.0066230977,-0.0025153898,-0.038208246,-0.04219155,0.08094525,0.058416143,-0.011118995,-0.011219294
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,-0.0020739774,-0.025625087,0.007962784,0.0059205694,-0.021622198,-0.012480242,0.0353057,0.0767648,-0.03339435,0.04297869,-0.031878993,0.015195115,-0.009986603
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,0.015818143,0.012114762,0.022225136,0.036947086,-0.0064010294,0.0056629735,0.025564566,0.11583039,-0.009406831,0.029999811,-0.038099013,-0.09219482,-0.0086981105
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0.038645238,0.01123153,-0.020892134,-0.05070627,-0.029434567,0.025107322,0.012463587,0.0029356321,0.025086686,0.0091179535,0.007299671,-0.037840664,-0.024618905
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.014243885,-0.0011290497,0.024275208,0.011436135,0.007763795,-0.001537372,-0.012762752,0.005661689,-0.024046566,-0.014339524,0.055849656,0.012332308,0.008769113
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.020470016,0.056448918,-0.03157147,-0.012394742,-0.0056147296,0.010196594,0.018425636,-0.028171122,0.014230704,-0.012327721,-0.036869466,-0.021886375,-0.0059445123
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.027688803,-0.02725672,-0.0032390775,-0.0084112175,0.048536986,-0.042705994,-0.0028173665,0.07348028,-0.07080886,0.034009837,-0.032336663,0.0134595325,-0.0018495059
7aHSDH%GENOME011662_3430,0.021360492,0.03579048,0.040134504,0.02420869,-0.01747992,0.009954201,0.0076168613,-0.0069779856,0.025058594,0.021847293,0.00976415,-0.12622376,0.052755445
