Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
BSH1%UPI0001DE6025,-0.6599069,0.8050932,0.7282633,0.5947384,0.9049819,-0.5245699,0.9569803,0.68380064,-0.8228594,0.5265107,-0.88975793,-0.54183966,1.0,-0.5416843,0.75530237
BSH1%UPI0002624191,-1.0,-1.0,0.5609287,0.7363465,1.0,-1.0,0.80316865,0.33129027,-0.76964694,0.385826,-1.0,1.0,0.72237206,0.3035395,-1.0
BSH1%UPI000289C842,0.20178756,0.69589776,-1.0,-0.925963,0.290933,0.37224945,-0.64604276,-0.9785442,0.8693878,0.81781447,-0.03398054,0.06934138,-0.62479544,0.7762315,1.0
BSH1%UPI0002CB0E7D,0.7128036,0.07579627,-0.9014096,-0.78894335,-1.0,0.5744159,0.79019743,0.44775435,1.0,-0.18319635,0.082266726,-0.85896134,-1.0,-0.31125435,0.78057396
BSH1%UPI0002F95F26,-0.2108946,-0.39750552,-0.08651682,0.15591581,-0.61195344,-0.2853481,1.0,1.0,-0.9068525,1.0,-0.16226132,0.033900995,-0.41475543,-0.265785,-0.16676499
BSH1%UPI000334E1FF,0.08112619,0.5441658,-1.0,-0.8257142,-0.46528518,0.06257117,-0.30747944,0.025854582,0.45781487,0.7432785,-0.037370056,0.76907694,1.0,0.21033427,0.08337912
BSH1%UPI00035D264B,-0.37146494,0.39303973,0.17614901,0.20483166,0.124511555,-0.7247209,0.70786595,1.0,-0.010534412,-0.23840675,-0.7200112,0.6134746,0.4017421,-0.6711946,0.17507386
BSH1%UPI00041C4F56,-0.27607405,-0.27049506,-0.43290865,-0.2831493,0.056323286,-0.21112414,0.6853996,-0.032432217,0.1283499,-1.0,-0.32594588,0.7735655,0.70339906,0.4772912,0.9200267
BSH1%UPI00044AC395,-0.97486585,0.28496972,0.55727446,1.0,0.89514,-1.0,1.0,1.0,0.244261,0.503508,-0.12860169,-0.6853435,0.16879778,-1.0,0.7615187
BSH1%UPI0004BCDDD9,0.22248153,-1.0,0.4897315,1.0,0.44394028,-0.3630777,0.15090756,-0.13574696,-0.22438152,-0.70587796,1.0,-0.16763653,-0.36135653,-1.0,-0.42112866
