Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
BSH2%UPI0006CABE2C,-1.0,-1.0,0.96795934,-1.0,1.0,-0.2738889,1.0,-0.20770982,0.17562246,1.0,-0.00086837856,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.7414115,-0.3347606,1.0,1.0,0.5930777,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.1763326,1.0,-1.0
BSH2%UPI00082051E1,-0.11687538,0.2566649,-1.0,-0.67458785,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.36455473,1.0,0.7625914,0.6952688,-0.22014292,-1.0,-1.0,1.0,0.3525877,-0.55957294,-1.0,1.0,0.15936922,1.0,1.0,-1.0,0.92322373,-0.28145024,1.0,-1.0,-0.565704,-0.97156304,0.52264494
BSH2%UPI00082062C1,-0.5995928,-0.5343982,1.0,-1.0,0.22615795,-0.5325692,-0.23151249,-1.0,1.0,1.0,-0.28487614,0.0232766,-0.17054972,0.47251174,-0.95628947,0.12904286,0.7437751,-0.8995427,-0.33077803,0.6224441,1.0,-1.0,-0.16083296,-0.48891607,0.48150644,0.4481265,-0.76947737,-0.30529025,-1.0,0.5579499,0.4686198,1.0,-0.51739824
BSH2%UPI000820857A,-1.0,-1.0,1.0,-0.3250449,1.0,-0.643549,1.0,-0.055958483,0.53694266,0.12935193,-0.9320036,-1.0,-0.7656185,1.0,1.0,1.0,1.0,-0.50647366,-1.0,0.29375646,-0.23074265,-1.0,0.11167444,0.58812445,-1.0,1.0,-1.0,0.41544652,-1.0,0.6964727,-0.69202644,0.014109701,-1.0
BSH2%UPI000820B778,-0.29214457,-0.22386865,0.39113638,-0.22729422,0.006696101,-1.0,-1.0,-0.225,0.60259265,0.75659424,-0.111898094,0.82843614,1.0,1.0,-0.5700346,-1.0,-0.66839075,-0.506716,-0.16031891,-0.14259622,-0.7118441,-0.25887913,0.7021104,0.38678664,0.9270321,-0.73349303,-1.0,0.03302082,0.5435388,-0.64213914,0.39503384,0.07802995,-0.0881632
BSH2%UPI000820F666,1.0,1.0,-0.687791,0.012839518,-0.8523192,-0.8930302,-1.0,1.0,-0.76938534,-1.0,1.0,0.6006729,-1.0,-0.11419604,-1.0,-0.9938537,-0.8680665,1.0,1.0,0.28745896,0.6772849,1.0,-1.0,-0.36145574,-0.29618526,-0.96137786,0.9228259,-1.0,1.0,-0.15384756,-0.0021896483,-0.40233207,1.0
BSH2%UPI000821232B,0.6529332,0.82498634,-0.35347217,1.0,0.34746963,0.6667308,0.94734144,1.0,0.1985126,0.6918318,0.17472172,-0.3730294,-0.56566644,-0.67782396,-0.2426771,0.5134558,0.4282878,0.62295955,0.40515327,-0.74427295,0.01688711,-0.0219797,-0.23045152,-1.0,-1.0,0.2398615,0.5443142,-1.0,0.21754459,-1.0,-0.6918727,-0.5255575,0.609464
BSH2%UPI0008219BA0,-1.0,-1.0,0.55906105,-1.0,0.548194,1.0,0.50832087,-1.0,0.5627907,0.6521129,0.000548282,-1.0,-1.0,-1.0,0.6200372,0.55169094,0.97412974,-0.6841239,-0.27334988,1.0,1.0,0.2542848,0.2595836,0.6925175,-0.111181155,1.0,0.4445715,0.67940736,0.07076787,1.0,-1.0,-0.51174754,-1.0
BSH2%UPI000821B1D8,0.16381414,0.5652501,-0.58451533,0.13074358,-0.43847653,1.0,0.53189814,0.6240525,-0.27169773,1.0,0.33926567,-0.026136346,0.56626093,-0.9692097,-0.37977237,0.022979498,-0.17386548,0.39038882,0.5170964,-0.71686816,-1.0,-0.5676301,0.16905273,0.15891196,0.90265894,-0.2969427,0.85185236,-0.69905716,-0.20253988,-0.39686942,-0.18868661,-1.0,0.66023177
BSH2%UPI000821B9AC,-1.0,-1.0,0.03029423,-1.0,-0.33555523,1.0,0.14599153,-1.0,0.6323338,1.0,-1.0,-0.6950886,0.16670583,-0.60727626,1.0,1.0,1.0,-0.7177964,-1.0,0.8907949,0.5927403,-1.0,1.0,0.36468557,0.65344375,0.6910006,0.19631079,1.0,-0.4474259,1.0,-1.0,0.5263511,-1.0
