Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
7aHSDH%GENOME215422_1346,-0.09478042,-0.07431455,0.12653036,0.1591217,0.17738324,-0.11415526,0.096833736,0.0955938,-0.12152199,-0.14854196,-0.17448044,-0.17374876,0.12165844,0.091968924,-0.07660677,0.023065167,0.035164997
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,-0.21333161,-0.044003945,0.04583981,0.117241085,0.05887105,-0.20912689,0.2274398,0.19871253,-0.09194354,-0.095170915,-0.14166531,-0.16009621,0.23831917,0.27410567,0.11724625,0.09237316,-0.20167212
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,-0.041506052,0.007654779,-0.07497763,-0.060764022,-0.07866191,-0.01178466,0.036290083,0.028826036,0.06731254,0.021601265,0.026721684,0.0124380365,0.0003421536,0.019239211,0.025880372,0.036034003,-0.06666038
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,0.015820917,0.021631375,0.03304384,0.029317047,0.03560156,0.012685749,-0.029529259,-0.010763099,-0.009606588,0.025593314,-0.042829614,-0.02773377,-0.018469328,-0.023054803,0.0029558712,0.013971321,0.028593512
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.049075637,-0.032306723,-0.07242055,-0.036894146,0.012050572,0.004483329,0.021146825,0.038665883,0.018233616,-0.02239022,0.011200177,0.025331574,0.031640798,0.02820202,0.035956725,0.060698785,-0.022317352
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-0.12929346,0.10668533,0.22982201,0.25364572,0.12755483,-0.30144474,0.16768584,0.13548309,-0.31781408,-0.071944706,-0.16542631,-0.2410391,0.19266972,0.2992664,0.11955242,0.08103493,-0.0851221
7aHSDH%WP_003507641_1_7alpha-hydroxysteroid_dehydrogenase___Clostridium__symbiosum_,0.03177278,-0.04854538,0.072062865,0.071951956,-0.026406847,-0.046633914,-0.048358288,-0.054456092,-0.08852455,-0.004561481,-0.03136841,-0.030781303,0.06258874,0.17883314,0.26826525,0.10457646,0.006195223
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,-0.20161052,0.015300312,-0.15301056,-0.06185746,-0.06742955,-0.15312715,0.15008089,0.19609548,0.1125956,-0.021120435,-0.041023403,-0.06960548,0.10876825,0.15809916,0.143361,0.107857406,-0.23691939
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,-0.026135445,-0.052153796,0.15748559,0.15904015,0.17896345,0.03330694,0.0020435147,0.014814614,-0.06312513,-0.10238999,-0.16570814,-0.108915426,0.018034529,-0.02496062,-0.06572699,-0.093311675,0.09121391
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,0.00697841,0.07346944,0.06349985,0.012713774,0.059692588,0.04365577,-0.028284067,-0.09180439,-0.101104945,-0.015386058,0.032417014,0.01698713,-0.020588081,-0.123446405,-0.116712615,0.10303913,0.06635778
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,0.0063523757,-0.08816992,-0.022573156,-0.0136920465,-0.01953603,0.053587142,-0.0365109,0.005643134,0.08892578,-0.060963865,-0.0379708,-0.0036897191,-0.008965118,-8.08944e-05,0.10818698,0.05749905,0.008361183
7aHSDH%WP_303013929_1_7alpha-hydroxysteroid_dehydrogenase__uncultured_Bacteroides_sp__,-0.027864425,-0.031119287,-0.05101995,-0.003982571,-0.03276906,-0.037399836,0.0071051144,0.04365805,0.045954704,-0.10242881,-0.034335814,-0.046385556,0.012179665,0.074956164,0.20806819,0.14524223,-0.04428899
7bHSDH%GENOME075272_507,0.043417737,0.065455265,0.022432797,0.053708635,0.10213058,-0.03540173,-0.013749211,-0.034228597,-0.14883402,-0.047697328,-0.029696543,-0.059570383,-0.024061052,-0.018436689,-0.014486666,0.067566775,0.09872894
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,-0.060806356,-0.10400015,0.05509708,0.064324915,0.043443505,-0.122616775,-0.0011083938,0.04667631,-0.10137128,1.328662e-06,-0.11085768,-0.11335867,0.06487107,0.077544644,0.09136551,0.04518149,0.08760515
BSH1%UPI0001652BA3,0.060025025,0.046688505,-0.05957862,-0.034663282,-0.03645199,0.061373577,-0.045720693,-0.0650696,-0.00047067337,0.022428012,0.08283105,0.082252294,-0.020995364,-0.009653692,0.044693023,0.038500253,-0.005401364
