Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
BSH2%UPI000B431D75,1.0,0.5641833,0.28399137,-0.12805717,1.0,-1.0,0.69831294,-0.74265414,-0.008756824,-0.62109244,0.6654833,0.44789627,0.6233176,-0.07887253,0.20734239,-0.16051437,-1.0,-0.6654402,0.13879779,0.35983375,-0.05683722,-0.7595603,-1.0,-1.0,-0.5053987,0.5609461,-0.2939165,1.0,0.71395755,-1.0,-0.23789321,-1.0,-0.64250195,0.014870198,1.0,0.2449212,-0.124381214,1.0
BSH2%UPI000C84F661,-0.17451867,-0.14013617,0.3085443,-1.0,1.0,0.9522871,0.32911327,0.15623951,0.7814376,1.0,-0.3156012,-0.4639036,-1.0,-0.060323864,0.503698,0.48120168,0.3028238,-0.1335976,1.0,-0.24529499,-0.9003828,-0.2316204,-0.4537703,-0.48546833,0.96058017,-0.79191494,-0.6389186,0.0952403,1.0,-0.19428548,0.6333824,-0.02429615,-0.70011866,-0.41031018,-0.80409586,-0.5173567,-0.39555052,0.4786495
BSH2%UPI000D1261F9,-1.0,-1.0,1.0,-1.0,0.6849274,0.89776963,-0.75422037,-0.020629045,0.5611064,-0.75110924,-0.091499545,0.33094892,-0.9459392,0.29213765,1.0,1.0,0.83863413,-0.13353403,0.931282,-0.69384736,0.8322574,1.0,1.0,1.0,-0.72907364,-1.0,-1.0,-0.052737605,0.50182843,0.3389998,0.39279553,0.3354127,0.25099733,-0.6255824,1.0,-0.4311627,-1.0,1.0
BSH2%UPI000D58F0CE,0.84026694,0.71714365,-0.20365675,-0.05552589,0.15615734,-1.0,-0.27244127,0.56236994,0.10703862,-0.09105494,0.34643117,0.4333911,0.20784628,1.0,-0.6052889,-1.0,-0.3961727,-0.21948814,0.24555194,0.56065303,-0.08653957,-0.09469,1.0,0.27757952,-0.23186462,-1.0,-1.0,0.7467373,0.033403203,-1.0,-1.0,0.84959334,-0.6615632,1.0,0.026442772,0.2744336,0.52170324,0.98538214
BSH2%UPI000D6581CE,-0.7698168,-0.89890975,0.21909264,0.41557086,0.34042937,1.0,0.6932654,1.0,-0.2631368,-0.50163907,-0.4876764,-0.53631103,-0.75713086,0.5718356,0.5662493,1.0,1.0,0.8765734,0.03388773,-0.7092175,-0.21206938,0.628601,-0.4938493,1.0,-0.6161945,-1.0,-1.0,0.20647451,0.65717185,0.8665926,-0.5495756,0.049328532,-0.4402252,-1.0,0.7568592,-0.43868238,-0.69199866,0.9247441
BSH2%UPI000D7ABA35,0.100306,0.17774226,0.86662716,-0.48782843,-0.39061984,-0.07808526,0.853209,-0.19792907,1.0,1.0,0.094693646,0.4786208,0.7459418,1.0,0.150134,-0.007852092,-1.0,-0.5344824,-0.59157735,0.2535673,-0.2783082,-0.56169945,-0.43959486,-1.0,0.7732918,-1.0,-1.0,-0.35672852,-0.49666443,0.03682719,0.7084456,-0.1492879,-0.18993175,0.6369592,-0.2970046,0.005693434,0.33409917,-0.13143383
BSH2%UPI000D7ADB68,1.0,1.0,-0.18838756,-1.0,0.74146414,-1.0,-0.51372105,-1.0,-0.40594262,-1.0,0.66351503,-0.12067138,1.0,-0.9759289,0.6901392,-0.613666,-0.20429377,-0.5666675,0.00827958,0.912926,-1.0,0.003925284,0.17414865,-1.0,-0.14881715,-0.49530888,1.0,0.5004263,0.10410573,-1.0,-0.8467863,0.49593574,-0.3869172,1.0,0.6659645,0.7782975,1.0,0.53287673
BSH2%UPI000D7AF0AB,-0.28908825,-0.5626971,0.7317721,0.965105,0.98832107,-1.0,0.77730733,0.14991935,1.0,0.3516817,-0.38719285,-0.4627548,-0.5365756,1.0,0.9431831,-0.15665112,-1.0,-1.0,-0.22403951,-0.57686913,0.8411472,0.20623103,-0.11141007,-1.0,0.35027376,-0.9735624,-1.0,0.77625346,0.6110811,-1.0,-0.15539825,-0.42549592,0.6090028,1.0,1.0,-0.48974672,-0.43656316,1.0
BSH2%UPI000DF74F5E,1.0,1.0,-0.47008064,1.0,-1.0,0.27476537,-0.87148446,1.0,-1.0,-1.0,0.98869926,1.0,1.0,0.6919485,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.61809695,-0.5901008,-1.0,-1.0,0.84628016,-1.0,1.0,-1.0,0.9570048,-1.0,1.0,1.0,0.20247504
BSH2%UPI000DF7AEC4,-0.44847143,-0.7377361,0.93157005,-0.58034813,1.0,-0.8310368,0.07243482,-1.0,0.9959251,0.2595448,-0.67136645,-0.6978371,0.013006633,1.0,0.8410818,0.7985747,0.8269104,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.5203662,1.0,1.0,-1.0,-0.4281098,-1.0,1.0,0.8775649,1.0,-1.0,-1.0,-0.037782837
