Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,0.45004752,0.43199795,1.0,0.51001537,-0.3585105,0.51286614,-0.20770109,-0.15136884,0.14759609,-0.56861097,-1.0,1.0,-0.35914832,-0.41650015,-0.37987095,0.0075252284,-0.60627925,-0.22691269,-0.11390754
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-1.0,-0.83899754,0.28298256,0.047373176,-0.34750822,-1.0,0.671718,0.1164347,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.9696289,0.5107683,1.0,-1.0,0.024938893
3aHSDH%GENOME060426_131,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.59489846,-1.0,1.0,1.0,-0.22597875,0.64196414,-0.35076502
3aHSDH%GENOME084620_3418,-0.03834604,-0.19680952,1.0,1.0,1.0,0.10287012,-0.0405255,0.14077538,0.09951395,0.24914236,0.49659064,0.21834956,-1.0,-1.0,-1.0,-1.0,-0.9363728,1.0,1.0
3aHSDH%GENOME084674_3322,1.0,1.0,-0.06434212,-0.36383203,-1.0,1.0,-0.01606783,-1.0,0.5553935,-0.70045805,-1.0,1.0,-1.0,-1.0,0.485212,0.9768207,-1.0,0.7056919,0.85520315
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-1.0,-1.0,0.100386806,-0.39461964,-0.053772967,1.0,1.0,1.0,0.21535668,0.41572198,-0.59111303,1.0,1.0,1.0,0.87889725,-1.0,-1.0,-1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-1.0,0.35925794,-0.18543737,0.23264505,-0.065758325,-0.056321263,-0.6827524,-0.7654502,-0.26298416,0.120284684,0.3230394,0.39800227,-0.983853,-0.46783435,0.64448804,0.91692525,-0.8302124,0.26650026,0.096234635
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1.0,1.0,-0.030070005,-1.0,-1.0,1.0,-1.0,-1.0,0.03445023,0.6439526,-1.0,1.0,0.40860248,-0.9073267,1.0,1.0,0.06357396,-1.0,-1.0
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,1.0,0.26224104,-0.27031237,-0.31915748,-0.509508,-0.41322485,1.0,1.0,0.74078244,-0.8227879,-0.7770276,-0.3090142,0.30013883,0.018081166,-0.74930215,-0.9253561,-1.0,-0.1454629,-0.43800345
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18184961,1.0,0.5862957,0.49531084,1.0,-1.0,1.0,1.0,0.87216526,1.0,1.0,-1.0,-0.8516052
