Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
BSH2%UPI0006C45BC8,0.044772986,-0.010818682,0.031313367,0.030403461,-0.012125414,-0.010446664,-0.008654509,-0.0010551707,-0.0068366677,0.009140435,0.029305268,-0.0016503744,-0.015189485,-0.067254774,-0.058731914,0.005348865,-0.0049243323,0.04882232,0.036008462
BSH2%UPI0006C4A6B6,-0.057807468,-0.022239981,0.017386628,0.02307043,0.010843499,-0.042766143,0.063208394,0.04330158,0.021143464,-0.034093715,0.04547576,-0.01991669,0.060797624,0.053913273,-0.020433838,-0.07790325,-0.045011755,0.041565746,0.017199853
BSH2%UPI0006C706B0,-0.03713354,-0.021510404,-0.023287935,-0.025585597,-0.05169991,-0.0065687215,-0.007163238,0.018025149,0.010240226,0.026556812,0.0005890341,-0.012223371,0.01404752,0.031798545,0.051628817,0.043068107,0.014923564,-0.055779304,-0.022438955
BSH2%UPI0006CAB5AD,-0.021004952,0.054776568,-0.05472549,-0.086754456,-0.060841884,-0.022607913,-0.053273216,-0.041675434,-0.026513372,0.04620598,0.002750396,0.018305596,0.0028950241,0.0064606713,0.05756444,0.083131276,0.055966653,-0.022023343,-0.014649089
BSH2%UPI0006CABDF6,-0.037524555,0.018125974,0.007540018,0.013617549,0.024992455,-0.018758845,-0.007609786,-0.004803643,0.023408007,-0.034794062,-0.042678285,0.0057291714,0.0125801135,0.034547545,0.033496756,0.0037695817,-0.018855982,-0.05364502,-0.017436864
BSH2%UPI0006CABE2C,0.06423673,0.02401009,0.020941928,0.0374788,0.028491827,0.01396919,-0.04980218,-0.044419345,-0.014569036,0.009558008,0.016402844,0.013260753,-0.055033922,-0.05831221,-0.0403145,-0.03595859,-0.026632622,0.09375677,0.07305339
BSH2%UPI00082051E1,-0.04323184,-0.06787772,-0.0069641154,0.03324847,0.040629365,-0.03513675,0.036345057,0.032036513,-0.011811125,-0.00917791,0.03019552,-0.04072087,0.04349078,0.021410687,0.017726028,0.009157399,0.04245565,-0.020338334,-0.027186597
BSH2%UPI000820857A,-0.03173969,0.03794461,-0.02983867,-0.00898074,-0.042828657,0.061598144,-0.030073812,-0.054450307,0.045885526,0.057488624,-0.07349164,0.0629036,-0.011298333,-0.007822773,0.07626742,0.04229367,-0.04098701,-0.086030014,-0.045319118
BSH2%UPI000820B778,0.027159698,-0.0020694262,-0.030968962,-0.020100994,0.0039945752,-0.002130779,-0.010597029,0.008609677,0.030774059,0.044991113,0.027846584,0.0032460378,-0.04561574,-0.037271157,-0.017907117,0.014611126,-0.021049045,0.031602245,0.013247612
BSH2%UPI000821232B,0.030738633,0.020772154,0.011519287,0.00059430866,0.016159054,-0.005646379,-0.028749006,0.0023792495,-0.032116618,0.052829817,0.0124857435,-0.013437477,-0.019343156,-0.0031855241,-0.10663223,-0.05351535,0.054608632,0.03439244,0.066184
BSH2%UPI0008219BA0,-0.0854278,-0.061868925,0.085013725,0.09079856,0.05512622,-0.05767228,0.048740316,0.0068712966,-0.1074617,-0.12558836,0.050145663,-0.04902783,0.0675535,0.0508462,-0.048759867,-0.06178488,0.0793603,0.058817238,0.07504154
